name,serving_size,energy_kcal,protein_g,carbohydrate_g,fat_g,sugar_g,sodium_mg,fiber_g,nutrition_score,label
Susu My protein impact whey protein,0.50 g,105.0,20.0,3.0,1.8,1.6,0.0,0.5,1.5,Sehat
Kluwek,1.50 g,310.0,10.0,13.5,24.0,0.0,0.0,0.0,1.5,Sehat
keripik Qtela singkong,0 g,100.0,0.0,14.0,5.0,1.0,0.0,0.0,2.5,Kurang Sehat
Milo Activ-Go 18 gram,0 g,15.0,2.0,13.0,2.0,8.0,35.0,0.0,5.0,Tidak Sehat
Indomie rasa ayam bawang,2 g,100.0,7.0,43.0,11.0,3.0,1330.0,2.0,6.0,Tidak Sehat
Ketela pohon kukus,0.60 g,153.0,1.2,36.4,0.3,0.0,2.0,1.3,-0.5,Sehat
Indomie rasa ayam special,2 g,90.0,7.0,44.0,10.0,3.0,1180.0,2.0,6.0,Tidak Sehat
Caotina,1 g,114.0,1.0,10.4,7.4,10.0,20.0,0.0,6.5,Tidak Sehat
Jahe,Tidak Diketahui,1.2,51.0,1.5,10.1,1.0,0.0,12.0,3.0,Kurang Sehat
Yeo's Chrysantenum tea,0 g,90.0,0.0,22.0,0.0,22.0,0.0,0.0,2.5,Kurang Sehat
Kue kelapa,1.50 g,591.0,5.6,47.5,42.1,0.0,33.0,0.0,4.5,Tidak Sehat
Teajus Gula Batu,0 g,25.0,0.0,6.0,0.0,5.0,0.0,0.0,2.5,Kurang Sehat
nestle cerelac bubur sereal susu rasa ayam sayur,8 g,210.0,8.0,34.0,5.0,0.0,150.0,0.0,3.0,Kurang Sehat
Nissin UFO fried ramen 100 g,100 g,190.0,8.0,62.0,21.0,6.0,1980.0,2.0,7.0,Tidak Sehat
Ricola herb canndy,0 g,60.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,Sehat
Mostarda metan-sawi,1.10 g,33.0,2.3,4.7,0.5,0.0,20.0,1.8,1.5,Sehat
ABC Minuman Asam Jawa,0 g,140.0,0.0,34.0,0.0,0.0,0.0,0.0,0.5,Sehat
Labu siam,Tidak Diketahui,0.3,30.0,0.6,6.7,0.1,0.0,3.0,0.5,Sehat
Sirup Sunquick Orange,0 g,45.0,0.0,11.0,0.0,11.0,0.0,0.0,2.5,Kurang Sehat
Kembang tahu rebus,0.80 g,90.0,10.7,4.7,4.0,0.0,0.0,0.0,-1.0,Sehat
Indofood Racik Bumbu Nasi Goreng,0 g,0.0,0.0,4.0,0.0,2.0,1050.0,0.0,5.0,Tidak Sehat
Tahu telur,1.10 g,328.0,12.6,24.6,19.9,0.0,755.4,0.4,4.5,Tidak Sehat
Tempe bongkrek,146.30 g,119.0,4.4,18.3,3.5,0.0,0.0,0.0,-1.0,Sehat
Royco ayam bumbu rujak,0 g,10.0,0.0,2.0,0.0,2.0,0.0,0.0,2.5,Kurang Sehat
Fitbar,1 g,90.0,3.0,14.0,2.5,4.0,0.0,1.0,1.5,Sehat
Tempe lamtoro var. gung tanpa kuit,1.10 g,131.0,18.0,13.0,0.8,0.0,0.0,1.3,-1.0,Sehat
Oishi Rasa Udang Pedas,0.50 g,12.5,1.0,8.0,1.5,1.0,95.0,0.5,4.0,Kurang Sehat
Yoghurt,Tidak Diketahui,2.2,52.0,3.3,4.0,2.5,0.0,40.0,1.5,Sehat
Es krim Wall's double dutch,1 g,150.0,3.0,18.0,7.0,9.0,0.0,1.0,3.0,Kurang Sehat
Bamboe Tongseng,2 g,25.0,1.0,5.0,2.5,1.0,580.0,2.0,4.0,Kurang Sehat
Top sirloin,21.77 g,127.0,21.77,0.01,4.45,0.0,0.0,0.0,-1.0,Sehat
Sambal Terasi Kokita,1 g,30.0,1.0,5.0,1.0,1.0,0.0,0.0,2.5,Kurang Sehat
susu mama minuman khusus ibu hamil & menyusui rasa cokelat,9 g,190.0,9.0,26.0,5.0,0.0,115.0,0.0,3.0,Kurang Sehat
Ubi jalar tinta / kemayung,1 g,108.0,0.5,25.6,0.4,0.0,1.0,4.2,-0.5,Sehat
Cengkeh kering,5.20 g,330.0,5.2,57.4,8.9,0.0,282.0,10.0,4.5,Tidak Sehat
Kacang kedelai goreng,100.0 g,521.0,32.2,22.9,37.7,0.0,3492.0,7.6,4.0,Kurang Sehat
monde boromon cookies,1 g,0.0,0.0,18.0,0.0,5.0,10.0,1.0,4.0,Kurang Sehat
KFC extra crispy dada,35 g,530.0,35.0,18.0,35.0,0.0,0.0,0.0,1.5,Sehat
Mi ABC cup mi ayam jamur,6 g,390.0,7.0,45.0,20.0,8.0,0.0,6.0,4.5,Tidak Sehat
Permen RELAXA,0 g,10.0,0.0,2.0,0.0,2.0,0.0,0.0,2.5,Kurang Sehat
Kopi Good Day Chococinno,1 g,98.0,1.0,17.0,2.0,0.0,15.0,0.0,2.5,Kurang Sehat
Pop Ice Taro,0 g,15.0,0.0,22.0,1.5,19.0,40.0,0.0,5.0,Tidak Sehat
Koro andong,3 g,356.0,20.5,61.6,4.1,0.0,18.0,7.0,3.0,Kurang Sehat
Jeruk manis,Tidak Diketahui,0.5,45.0,0.9,11.2,0.2,0.0,4.0,0.5,Sehat
Bamboe Lodeh,0 g,10.0,1.0,0.0,1.0,0.0,980.0,0.0,2.5,Kurang Sehat
Pizza hut meat lovers,1 g,210.0,8.0,17.0,12.0,2.0,0.0,1.0,4.0,Kurang Sehat
Starbucks chocolate croissant,2 g,340.0,5.0,38.0,20.0,13.0,0.0,2.0,4.5,Tidak Sehat
Mie Gaga Goreng Lada Hitam,9 g,390.0,9.0,53.0,16.0,0.0,1150.0,0.0,4.5,Tidak Sehat
Spaghetti,2.10 g,139.0,7.4,22.6,2.1,0.0,0.0,0.0,-1.0,Sehat
Eskrim walls feast vanila,1 g,140.0,2.0,15.0,8.0,13.0,0.0,1.0,3.0,Kurang Sehat
Ham,5.80 g,384.0,16.9,0.3,35.0,0.0,112.0,0.0,4.0,Kurang Sehat
Es krim Diamond durian,2 g,100.0,2.0,12.0,6.0,9.0,0.0,0.0,2.5,Kurang Sehat
Kue thipan,0.40 g,247.0,2.9,49.5,4.2,0.0,95.0,0.0,4.0,Kurang Sehat
Dodol manado,1.20 g,373.0,4.3,51.9,16.5,0.0,35.0,0.4,4.5,Tidak Sehat
Ampas tahu kering,5.80 g,414.0,26.6,41.3,18.3,0.0,45.0,0.0,4.5,Tidak Sehat
Promina sliky puding rasa strawberry,1 g,110.0,1.0,19.0,3.0,11.0,12.0,0.0,5.0,Tidak Sehat
Kue ali,0.40 g,440.0,3.8,64.5,18.5,0.0,0.0,0.3,2.0,Sehat
Keripik gadung,2.80 g,446.0,2.8,76.0,14.5,0.0,0.0,1.7,2.0,Sehat
Indofood Saos Tomat (135 ml),0 g,20.0,0.0,5.0,0.0,4.0,400.0,0.0,5.0,Tidak Sehat
donat Krispy kreme glazed chocolate cake,1 g,250.0,3.0,38.0,10.0,24.0,0.0,1.0,4.5,Tidak Sehat
Royco nasi goreng,0 g,15.0,0.0,2.0,0.0,2.0,0.0,0.0,2.5,Kurang Sehat
Starbucks Almond croissant,3 g,420.0,10.0,45.0,22.0,13.0,0.0,3.0,4.5,Tidak Sehat
Sari Wangi Teh Hitam Jahe & Kunyit,0 g,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.5,Kurang Sehat
Mom Miyuki Go Roa Keripik Pisang Goroho (Roa Pedas),1 g,180.0,1.0,24.0,8.0,14.0,50.0,0.0,8.0,Tidak Sehat
Emping beras,1.90 g,403.0,10.6,85.3,2.2,0.0,1.0,0.2,0.5,Sehat
Tahu goreng,2 g,115.0,9.7,2.5,8.5,0.0,7.0,0.1,0.5,Sehat
Kopi Kapal api grande white coffe,1 g,90.0,1.0,17.0,2.0,12.0,0.0,1.0,1.5,Sehat
Kabuto,0.60 g,250.0,2.6,35.4,2.5,0.0,2.0,1.8,0.5,Sehat
Nissin Gekikara Ramen Rasa Carbonara Pedas,7 g,350.0,7.0,53.0,12.0,0.0,1170.0,0.0,4.5,Tidak Sehat
Es krim Diamond kacang hijau,4 g,220.0,4.0,12.0,11.0,8.0,0.0,0.0,5.0,Tidak Sehat
Outback steackhouse T-Bone,79 g,910.0,79.0,4.0,64.0,0.0,0.0,0.0,1.5,Sehat
Sarimuka,0.50 g,166.0,2.3,32.9,2.8,0.0,3.0,0.0,1.5,Sehat
Kopiko coffe candy,0 g,40.0,0.0,8.0,1.0,6.0,0.0,0.0,2.5,Kurang Sehat
You C1000 vitamin orange,0 g,80.0,0.0,20.0,0.0,20.0,0.0,0.0,2.5,Kurang Sehat
Pizza hut deluxe cheese,3 g,380.0,16.0,37.0,19.0,1.0,0.0,3.0,4.5,Tidak Sehat
Tepung Jalejo,2.30 g,347.0,19.0,61.2,7.5,0.0,3.0,5.8,2.0,Sehat
yummy bites banana flavor,2 g,190.0,2.0,44.0,0.0,4.0,130.0,0.0,6.5,Tidak Sehat
Brem,0.90 g,249.0,3.4,58.0,0.4,0.0,0.0,0.0,1.5,Sehat
Kopiko 78'C coffe latte,4 g,160.0,4.0,28.0,3.0,24.0,0.0,0.0,4.0,Kurang Sehat
Sayur ndusuk,3.10 g,49.0,3.1,3.6,2.5,0.0,1011.0,0.0,2.5,Kurang Sehat
Hershey's Spreads,1 g,190.0,3.0,20.0,12.0,19.0,50.0,1.0,6.5,Tidak Sehat
Gery Saluut Malkist Double Abon,1 g,90.0,1.0,15.0,2.5,3.0,930.0,0.0,5.0,Tidak Sehat
Suweg kukus,1 g,93.0,1.5,21.9,0.1,0.0,6.0,0.9,-1.0,Sehat
Cangkuning,0.80 g,204.0,2.8,31.4,7.5,0.0,0.0,0.0,3.0,Kurang Sehat
Doritos barbeque,2 g,100.0,2.0,13.0,4.5,1.0,0.0,0.0,2.5,Kurang Sehat
Kopi bubuk instan,9.70 g,129.0,12.3,35.0,0.5,0.0,72.0,0.0,2.0,Sehat
Buavita Orange,0.50 g,120.0,0.0,28.0,0.0,23.0,0.0,0.5,2.0,Sehat
Mi sedaap cup mi goreng,7 g,390.0,6.0,52.0,18.0,5.0,0.0,7.0,4.5,Tidak Sehat
Outback steackhouse new york strip,63 g,810.0,63.0,0.0,62.0,0.0,0.0,0.0,1.5,Sehat
Permen Xylitol Blueberry Mint,0 g,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,Sehat
Susu WRP Lose weight stroberi,2 g,220.0,14.0,25.0,6.0,21.0,0.0,2.0,3.0,Kurang Sehat
Kacang marah tua,6.20 g,280.0,16.7,63.2,1.6,0.0,19.0,4.6,3.0,Kurang Sehat
Nissin Gekikara Ramen rasa Ayam Pedas,7 g,360.0,7.0,52.0,14.0,0.0,1030.0,0.0,4.5,Tidak Sehat
Widaran,0.30 g,424.0,1.3,80.7,10.7,0.0,0.0,0.2,2.0,Sehat
Mr. Bread Roti tawar,2.50 g,198.0,7.0,36.0,3.0,2.5,269.0,2.5,5.5,Tidak Sehat
Indomie mi goreng aceh,6 g,170.0,9.0,55.0,19.0,6.0,790.0,6.0,7.0,Tidak Sehat
Ichitan Thailand Milk Tea,3 g,50.0,3.0,36.0,6.0,25.0,160.0,0.0,5.5,Tidak Sehat
Top coffee Gula Aren,1 g,20.0,1.0,18.0,2.5,14.0,35.0,0.0,5.0,Tidak Sehat
Sayur umbut kelapa,1.30 g,67.0,5.2,5.1,2.9,0.0,313.0,1.4,1.5,Sehat
Maggi Magic Lezat Bumbu Penyedap,1 g,5.0,1.0,1.0,0.0,0.0,970.0,0.0,2.5,Kurang Sehat
Good Time Cookies,1 g,50.0,2.0,21.0,6.0,10.0,220.0,1.0,4.0,Kurang Sehat
Beras parboiled,2.50 g,353.0,6.8,80.0,0.6,0.0,2.0,0.5,0.5,Sehat
Heavenly blush greek yogurt,3 g,170.0,6.0,16.0,9.0,9.0,0.0,3.0,4.0,Kurang Sehat
Biskuit meiji Hello panda,1 g,230.0,3.0,30.0,10.0,12.0,0.0,1.0,4.5,Tidak Sehat
Prosana Proffle Biskuit Waffle Tinggi Protein,0 g,20.0,5.0,12.0,2.0,2.0,65.0,0.0,4.0,Kurang Sehat
donat Krispy kreme original glazed,1 g,190.0,3.0,21.0,11.0,10.0,0.0,1.0,4.0,Kurang Sehat
Pisang tujuh bulan,0.80 g,94.0,0.6,22.5,0.2,0.0,0.0,3.7,-1.0,Sehat
Nutrisari Jeju orange,0 g,60.0,0.0,14.0,0.0,11.0,0.0,0.0,2.5,Kurang Sehat
Biskuit,1.40 g,458.0,6.9,75.1,14.4,0.0,241.0,2.1,4.5,Tidak Sehat
Mie Sagu,0.10 g,190.0,0.2,46.5,0.4,0.0,10.0,1.4,3.0,Kurang Sehat
Tempe gembus P3G,0.80 g,73.0,5.7,10.3,1.3,0.0,0.0,4.2,-1.0,Sehat
ABC Sari Kacang Hijau,2 g,160.0,2.0,36.0,0.0,0.0,0.0,0.0,1.5,Sehat
Kue putu cangkir,0.20 g,304.0,5.3,54.9,7.0,0.0,0.0,0.9,2.0,Sehat
Indofood Sambal Pedas Dahsyat (135 ml),0 g,25.0,0.0,5.0,0.0,4.0,270.0,0.0,5.0,Tidak Sehat
Daun jonghe,Tidak Diketahui,1.4,27.0,2.1,4.4,0.7,0.0,0.0,1.5,Sehat
Gatot,1.40 g,347.0,1.3,83.8,0.7,0.0,28.0,5.8,3.0,Kurang Sehat
Sosis Kanzler German Bratwurst,0 g,150.0,0.0,0.0,12.0,0.0,435.0,0.0,4.0,Kurang Sehat
Teh botol sosro less sugar,0 g,90.0,0.0,22.0,0.0,22.0,0.0,0.0,2.5,Kurang Sehat
Cassavastick,2.70 g,460.0,0.8,17.2,18.7,0.0,0.0,1.6,1.5,Sehat
Chitato Maxx Spicy Mexican Chili Flavor,1 g,50.0,1.0,12.0,6.0,1.0,90.0,0.0,5.0,Tidak Sehat
Nasi / Nasi Putih,0.20 g,180.0,3.0,39.8,0.3,0.0,1.0,0.2,0.5,Sehat
Better Sandwich Biscuit,1 g,60.0,2.0,18.0,7.0,9.0,75.0,1.0,5.5,Tidak Sehat
Starbucks cappuccino (nonfat milk),8 g,80.0,8.0,12.0,0.0,0.0,0.0,0.0,-1.0,Sehat
Coca cola zero sugar,0 g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sehat
Tempe gembus yogya,1.10 g,76.0,6.8,10.6,0.7,0.0,0.0,5.3,-1.0,Sehat
Oreo dutch Cocoa wafer,2 g,50.0,1.0,17.0,6.0,9.0,50.0,2.0,4.0,Kurang Sehat
Starbucks hot caffe mocha (whole milk),13 g,330.0,13.0,42.0,12.0,0.0,0.0,0.0,2.0,Sehat
Yogurt greek heavenly blush strawberrt,4 g,170.0,5.0,18.0,9.0,10.0,45.0,4.0,6.5,Tidak Sehat
Monde Boromon Wafers rasa Strawberry susu,2 g,60.0,1.0,17.0,6.0,7.0,35.0,2.0,4.0,Kurang Sehat
Ceriping getuk singkong,3.20 g,462.0,1.2,67.7,20.7,0.0,0.0,0.6,2.0,Sehat
Matoa,Tidak Diketahui,1.1,90.0,1.2,21.1,0.1,0.0,10.0,0.5,Sehat
Bayam kukus,1.60 g,30.0,1.3,5.8,0.7,0.0,15.0,1.2,1.5,Sehat
Mie pangsit basah,0.70 g,105.0,5.9,9.4,4.9,0.0,530.0,0.0,1.5,Sehat
Frisian flag california strawberry low fat,7 g,150.0,7.0,24.0,2.5,22.0,125.0,0.0,4.5,Tidak Sehat
HILO PLATINUM Swiss Chocolate Flavour,8 g,130.0,8.0,21.0,2.0,0.0,150.0,0.0,1.5,Sehat
Ikan Hiu kering,6.80 g,298.0,46.3,20.2,3.6,0.0,957.0,0.0,2.5,Kurang Sehat
Frisian flag gold (kental manis),3 g,130.0,3.0,22.0,3.5,21.0,0.0,0.0,2.5,Kurang Sehat
Gandaria masak,Tidak Diketahui,0.4,68.0,0.7,18.0,0.1,0.0,3.0,0.5,Sehat
Teh Kotak Rasa Blackcurrant,0 g,100.0,0.0,24.0,0.0,21.0,50.0,0.0,5.5,Tidak Sehat
Oishi Snack Sponge Crunch Chocolate,0 g,45.0,1.0,11.0,5.0,5.0,20.0,0.0,5.0,Tidak Sehat
KFC extra crispy paha atas,22 g,330.0,22.0,9.0,23.0,0.0,0.0,0.0,1.5,Sehat
Butter cookies Monde,2 g,70.0,2.0,20.0,8.0,7.0,0.0,0.0,4.0,Kurang Sehat
Es krim Wall's oreo cookies cream,1 g,140.0,2.0,17.0,7.0,11.0,0.0,1.0,3.0,Kurang Sehat
Nissin Walens Chocosoes,2 g,80.0,2.0,14.0,8.0,8.0,65.0,0.0,6.5,Tidak Sehat
East Bali Cashews Granola With Rosella Cinnamon,2.50 g,126.0,2.5,18.5,4.0,5.0,118.5,2.5,4.0,Kurang Sehat
Jasjus Rasa Anggur,0 g,25.0,0.0,6.0,0.0,5.0,15.0,0.0,5.0,Tidak Sehat
Indomie kari ayam,2 g,320.0,7.0,46.0,12.0,4.0,0.0,2.0,4.5,Tidak Sehat
Ikan Hiu,Tidak Diketahui,1.1,57.0,10.7,2.2,0.3,0.0,0.0,-1.0,Sehat
Starbucks Iced caffe mocha (notfat milk),9 g,200.0,9.0,36.0,2.5,0.0,0.0,0.0,0.5,Sehat
Gadeng / Gadung kering,0.20 g,322.0,2.4,76.6,0.6,0.0,5.0,0.0,1.5,Sehat
Sirup pirous,0.20 g,228.0,0.2,55.9,0.4,0.0,3.0,0.0,1.5,Sehat
You C1000 vitamin apple,0 g,60.0,0.0,14.0,0.0,14.0,0.0,0.0,2.5,Kurang Sehat
Susu sapi,Tidak Diketahui,0.7,61.0,3.2,4.3,3.5,0.0,36.0,1.5,Sehat
Roti gandum,4 g,267.0,10.72,48.68,3.24,5.91,508.0,4.0,5.5,Tidak Sehat
Ikan Mujahir / Mujair pepes,1 g,121.0,21.7,0.8,2.8,0.0,58.0,0.0,1.5,Sehat
Lilin bungkus gedi,1.90 g,79.0,2.3,5.8,5.2,0.0,170.0,2.5,1.5,Sehat
Mie celon,1.20 g,102.0,3.0,17.8,2.1,0.0,451.0,0.0,2.5,Kurang Sehat
Beef burger,2.20 g,258.0,10.6,32.5,9.5,0.0,572.0,0.4,4.5,Tidak Sehat
Walens choco soes,2 g,140.0,2.0,14.0,8.0,0.0,0.0,0.0,1.5,Sehat
Kapurung,0.60 g,41.0,2.0,7.8,0.3,0.0,185.0,2.0,1.5,Sehat
Daun kesum,Tidak Diketahui,0.8,48.0,4.5,9.1,0.8,0.0,11.0,3.0,Kurang Sehat
Teh melati daun kering,5.30 g,299.0,24.1,59.0,3.5,0.0,70.0,9.7,3.0,Kurang Sehat
Tony roma's potato skin,0 g,751.0,35.0,41.0,51.0,2.0,0.0,0.0,4.5,Tidak Sehat
Yogurt mixed berry,4 g,140.0,4.0,22.0,4.0,0.0,30.0,4.0,1.5,Sehat
Susu Bear brand gold malt putih,4 g,120.0,4.0,19.0,1.5,0.0,0.0,0.0,0.0,Sehat
brokoli ,Tidak Diketahui,90.5,23.2,3.2,1.9,0.2,0.0,15.0,-1.0,Sehat
Keripik oncom,2.20 g,598.0,8.3,42.6,43.8,0.0,0.0,3.3,2.0,Sehat
Tepung terigu,1 g,333.0,9.0,77.2,1.0,0.0,2.0,0.3,0.5,Sehat
Richeese Nabati Wafer Krim Keju,0 g,40.0,0.0,6.0,1.5,0.0,30.0,0.0,2.5,Kurang Sehat
Dairy queen Vanilla cone,0 g,330.0,9.0,52.0,9.0,36.0,0.0,0.0,4.5,Tidak Sehat
Kacang gude rebus,1.50 g,147.0,9.0,27.5,0.5,0.0,14.0,3.4,2.0,Sehat
Carman's bircher muesli,7.90 g,421.0,14.7,48.1,17.1,16.0,0.0,7.9,4.5,Tidak Sehat
Taoge,Tidak Diketahui,0.4,34.0,3.7,4.3,1.2,0.0,19.0,1.5,Sehat
Nutrisari jus jambu,0 g,60.0,0.0,13.0,1.5,12.0,0.0,0.0,2.5,Kurang Sehat
Ultra milk low fat source of calcium,7 g,90.0,7.0,11.0,2.5,0.0,105.0,0.0,1.5,Sehat
Piattos Sambal Terasi Flavor,2 g,45.0,1.0,13.0,5.0,1.0,140.0,2.0,4.0,Kurang Sehat
Bengkuang,Tidak Diketahui,0.5,59.0,1.4,12.8,0.2,0.0,2.0,0.5,Sehat
Umbut kelapa,Tidak Diketahui,1.3,39.0,2.0,7.2,0.2,0.0,4.0,0.5,Sehat
Sarimi Gelas Rasa Kari Ayam,2 g,70.0,8.0,16.0,8.0,1.0,1110.0,2.0,5.5,Tidak Sehat
Martabak india,1.20 g,153.0,4.5,24.3,4.2,0.0,240.0,0.0,2.0,Sehat
Wajit camilan,0.60 g,303.0,6.3,63.3,2.7,0.0,0.0,6.9,0.5,Sehat
Taro net,2 g,80.0,2.0,15.0,2.0,0.0,0.0,0.0,0.0,Sehat
Sayur umbut rotan,1.30 g,57.0,5.4,3.1,2.6,0.0,256.0,1.6,1.5,Sehat
Kakicak,0.90 g,296.0,3.4,36.7,15.1,0.0,0.0,0.0,3.0,Kurang Sehat
Yoforia Berry smooth,4 g,130.0,4.0,24.0,2.0,20.0,0.0,0.0,3.0,Kurang Sehat
Nissin Butter Coconut Biscuits,2 g,100.0,1.0,14.0,5.0,4.0,55.0,2.0,4.0,Kurang Sehat
Herslim,2 g,10.0,13.0,13.0,1.5,2.0,120.0,2.0,4.0,Kurang Sehat
Indomie rasa kaldu ayam,4 g,110.0,6.0,50.0,12.0,0.0,980.0,4.0,3.5,Kurang Sehat
Papeda,0.10 g,61.0,0.2,14.9,0.1,0.0,4.0,0.5,-1.0,Sehat
Daun oyong,Tidak Diketahui,0.6,22.0,1.0,5.3,0.1,0.0,40.0,-1.0,Sehat
wrp everyday susu bubuk rasa choco hazelnut,5 g,110.0,5.0,21.0,1.0,0.0,35.0,0.0,1.5,Sehat
Ichi ocha,0 g,0.0,0.0,26.0,0.0,24.0,35.0,0.0,5.5,Tidak Sehat
MR. P Honey Peanuts,7 g,150.0,7.0,5.0,12.0,3.0,0.0,0.0,3.0,Kurang Sehat
Suwir-suwir,1 g,347.0,0.5,84.2,0.9,0.0,0.0,0.8,0.5,Sehat
Daun labu siam,Tidak Diketahui,1.2,34.0,4.0,4.7,0.4,0.0,16.0,-1.0,Sehat
Uceng / bunga melinjo,Tidak Diketahui,1.7,82.0,5.8,11.7,1.3,0.0,0.0,3.0,Kurang Sehat
Golden Farm mixed vegetable,3 g,70.0,3.0,14.0,1.0,4.0,0.0,0.0,2.5,Kurang Sehat
Kue pelita,0.60 g,141.0,5.3,17.6,5.5,0.0,0.0,0.0,-1.0,Sehat
Dairy queen chocolate dipped cone,1 g,460.0,9.0,59.0,22.0,43.0,0.0,1.0,4.5,Tidak Sehat
Jeruk banjar,Tidak Diketahui,0.4,61.0,0.8,14.1,0.2,0.0,3.0,0.5,Sehat
Daun labu wuluh/kuning,Tidak Diketahui,1.6,34.0,3.6,4.5,0.6,0.0,16.0,1.5,Sehat
Tepung Ganyong,0.30 g,353.0,0.8,83.6,1.7,0.0,3.0,0.7,0.5,Sehat
Umbut rotan,1.30 g,34.0,2.4,5.5,0.3,0.0,8.0,2.2,1.5,Sehat
Yogurt frozen pinkberry (Kecil),0 g,150.0,6.0,31.0,0.0,30.0,0.0,0.0,2.0,Sehat
Golden Farm corn kernel,3 g,70.0,3.0,14.0,1.0,3.0,0.0,0.0,2.5,Kurang Sehat
Nutrisari Florida orange,0 g,50.0,0.0,13.0,0.0,11.0,0.0,0.0,2.5,Kurang Sehat
NutriBoost rasa kopi,3 g,30.0,3.0,19.0,3.0,14.0,100.0,0.0,5.0,Tidak Sehat
Ultra Sari Kacang Ijo,2 g,90.0,2.0,22.0,0.0,0.0,0.0,0.0,0.0,Sehat
Quinoa,4.40 g,120.0,4.4,21.3,1.92,0.0,0.0,0.0,-1.0,Sehat
Kacang tolo rebus,1.20 g,138.0,10.7,22.6,1.1,0.0,13.0,0.9,1.5,Sehat
Lamtoro biji muda,Tidak Diketahui,1.2,85.0,5.7,15.4,0.3,0.0,35.0,0.5,Sehat
Roma Malkist,2 g,120.0,2.0,19.0,4.5,3.0,0.0,0.0,2.5,Kurang Sehat
Tahu Bakso,2.40 g,231.0,11.8,21.4,12.2,1.2,378.0,2.4,6.5,Tidak Sehat
Sonice Bakso kuah sapi,8 g,160.0,8.0,20.0,5.0,0.0,0.0,0.0,0.0,Sehat
Saladstop tingtong,13.50 g,843.4,30.6,83.3,46.2,14.5,1004.6,13.5,7.0,Tidak Sehat
Takwa,1.60 g,148.0,13.8,4.0,8.5,0.0,3.0,0.0,0.5,Sehat
Monde Boromon cookies original flavor,0 g,80.0,0.0,18.0,0.0,0.0,10.0,0.0,2.5,Kurang Sehat
Keju Lemnos Grated Parmesan,0 g,38.0,3.3,1.0,5.6,1.0,0.0,0.0,2.5,Kurang Sehat
Good Day Mocacinno,1 g,20.0,1.0,16.0,2.0,13.0,10.0,1.0,4.0,Kurang Sehat
kacang garuda roste kacang panggang,5 g,130.0,5.0,16.0,5.0,0.0,115.0,0.0,1.5,Sehat
Tepung Tales Banten,5.50 g,332.0,5.7,76.1,0.6,0.0,7.0,12.2,0.5,Sehat
Coklat Toblerone,1 g,130.0,1.0,15.0,7.0,15.0,0.0,0.0,4.0,Kurang Sehat
Es Krim Walls Cappuccino,1 g,70.0,1.0,19.0,8.0,10.0,15.0,1.0,5.5,Tidak Sehat
Cashew,3.30 g,553.0,18.22,30.19,43.85,0.0,0.0,3.3,2.0,Sehat
Kucai muda (lokio),Tidak Diketahui,1.8,42.0,3.8,7.8,0.6,0.0,22.0,3.0,Kurang Sehat
Susu kuda,Tidak Diketahui,0.4,40.0,2.0,5.4,1.1,0.0,0.0,1.5,Sehat
Eskrim cornetto oreo,2 g,240.0,2.0,33.0,11.0,20.0,0.0,2.0,4.5,Tidak Sehat
Keripik Qtela ubi ungu,0 g,100.0,0.0,14.0,5.0,3.0,0.0,0.0,2.5,Kurang Sehat
Susu Bear brand gold teh putih,4 g,70.0,4.0,10.0,2.0,0.0,0.0,0.0,0.0,Sehat
Es teh tawar,0.02 g,2.0,0.02,0.67,0.0,0.0,0.0,0.0,0.0,Sehat
susu tango kido rasa banana pudding,10 g,90.0,10.0,15.0,2.5,0.0,140.0,0.0,1.5,Sehat
Biskuit WRP Everyday chocolate chip,2 g,100.0,1.0,11.0,5.0,0.0,0.0,2.0,-1.0,Sehat
Ampas tahu mentah,0.60 g,67.0,5.0,8.1,2.1,0.0,8.0,4.1,1.5,Sehat
Misoa,100.0 g,345.0,8.5,78.0,2.2,0.0,3064.0,0.5,3.0,Kurang Sehat
biskuit Lotte choco pie,1 g,120.0,1.0,19.0,4.5,10.0,0.0,0.0,2.5,Kurang Sehat
Srikaya ketan,0.80 g,265.0,2.7,49.1,6.4,0.0,0.0,0.0,3.0,Kurang Sehat
Puffies Soes Crunchy Cheese,1 g,30.0,2.0,6.0,6.0,0.0,120.0,1.0,1.5,Sehat
Pocky double choco,4 g,240.0,4.0,29.0,12.0,9.0,0.0,0.0,5.5,Tidak Sehat
Mie sedap instan kari spesial,3 g,130.0,8.0,47.0,14.0,3.0,1060.0,3.0,6.0,Tidak Sehat
Jasjus Rasa Lemon,0 g,25.0,0.0,6.0,0.0,5.0,15.0,0.0,5.0,Tidak Sehat
Sagu rendang,1 g,364.0,0.1,90.5,0.2,0.0,42.0,1.9,3.0,Kurang Sehat
Silverqueen Crispy with Milk Chocolate,4 g,170.0,4.0,15.0,10.0,11.0,35.0,0.0,7.5,Tidak Sehat
Sukun tua,1 g,126.0,1.6,24.5,0.2,0.0,25.0,1.5,2.0,Sehat
Lapis legit,0.90 g,389.0,6.6,55.5,15.7,0.0,0.0,0.5,2.0,Sehat
Susu Ultra Milk Rasa Stroberi,6 g,30.0,6.0,22.0,3.5,17.0,50.0,0.0,4.0,Kurang Sehat
